"UH","US1","US2","UV4","VH4"
"no","weak","weak","no","no"
"yes","weak","weak","no","yes"
"no","good","weak","no","no"
"yes","good","weak","no","no"
"no","strong","weak","no","no"
"yes","strong","weak","no","no"
"no","weak","good","no","no"
"yes","weak","good","no","no"
"no","good","good","no","no"
"yes","good","good","no","no"
"no","strong","good","no","no"
"yes","strong","good","no","no"
"no","weak","strong","no","no"
"yes","weak","strong","no","no"
"no","good","strong","no","no"
"yes","good","strong","no","no"
"no","strong","strong","no","no"
"yes","strong","strong","no","no"
"no","weak","weak","yes","yes"
"yes","weak","weak","yes","yes"
"no","good","weak","yes","yes"
"yes","good","weak","yes","yes"
"no","strong","weak","yes","no"
"yes","strong","weak","yes","yes"
"no","weak","good","yes","yes"
"yes","weak","good","yes","yes"
"no","good","good","yes","yes"
"yes","good","good","yes","yes"
"no","strong","good","yes","no"
"yes","strong","good","yes","yes"
"no","weak","strong","yes","no"
"yes","weak","strong","yes","yes"
"no","good","strong","yes","no"
"yes","good","strong","yes","yes"
"no","strong","strong","yes","no"
"yes","strong","strong","yes","yes"
